column1,column2,column3,column4
20260204_1508558434_Bar0_QR1_OCR1_Blob1_Loc1_Dis1_Com0.bmp,263.546875,1002.656433,-0.679399
20260204_1508558905_Bar0_QR1_OCR1_Blob1_Loc1_Dis1_Com0.bmp,263.874329,1007.008179,-0.374202
20260204_1508559475_Bar0_QR1_OCR1_Blob1_Loc1_Dis1_Com0.bmp,264.81604,1002.735962,-0.260753
20260204_1508559955_Bar0_QR1_OCR1_Blob1_Loc1_Dis1_Com0.bmp,265.566864,1004.169128,-0.840426
20260204_1508560955_Bar0_QR1_OCR1_Blob1_Loc1_Dis1_Com0.bmp,268.076294,1000.669495,-0.274499
20260204_1508561325_Bar0_QR1_OCR1_Blob1_Loc1_Dis1_Com0.bmp,269.660339,1001.613403,-0.188689
20260204_1508561935_Bar0_QR1_OCR1_Blob1_Loc1_Dis1_Com0.bmp,270.957886,998.546326,-0.397698
20260204_1523391241_Bar1_QR1_OCR1_Blob0_Loc1_Dis1_Com0.bmp,277.062683,1006.144653,-0.413212
20260204_1523391902_Bar1_QR1_OCR1_Blob0_Loc1_Dis1_Com0.bmp,277.240204,1009.308228,-1.134195
20260204_1523392551_Bar1_QR1_OCR1_Blob0_Loc1_Dis1_Com0.bmp,277.167145,1009.549011,-0.798915
20260204_1523393201_Bar1_QR1_OCR1_Blob0_Loc1_Dis1_Com0.bmp,277.610687,1005.512756,-1.153244
20260204_1523394031_Bar1_QR1_OCR1_Blob0_Loc1_Dis1_Com0.bmp,277.819031,1005.665222,-1.111552
20260204_1523394661_Bar1_QR1_OCR1_Blob0_Loc1_Dis1_Com0.bmp,279.242645,1002.265991,-0.879806
20260204_1523395311_Bar1_QR1_OCR1_Blob0_Loc1_Dis1_Com0.bmp,279.58725,1003.696289,-0.96903
20260204_1523396104_Bar1_QR1_OCR1_Blob0_Loc1_Dis1_Com0.bmp,281.338257,1001.208862,-1.169935
20260204_1523396924_Bar1_QR1_OCR1_Blob0_Loc1_Dis1_Com0.bmp,283.452332,999.541016,-1.104753
20260204_1523397515_Bar1_QR1_OCR1_Blob0_Loc1_Dis1_Com0.bmp,284.782593,997.611938,-0.861266
20260204_1523398154_Bar1_QR1_OCR1_Blob0_Loc1_Dis1_Com0.bmp,287.211914,997.44458,-1.014703
20260204_1523399044_Bar1_QR1_OCR1_Blob0_Loc1_Dis1_Com0.bmp,288.292969,995.372742,-0.731834
20260204_1523399364_Bar1_QR1_OCR1_Blob0_Loc1_Dis1_Com0.bmp,289.5578,994.617004,-0.84926
20260204_1523400014_Bar1_QR1_OCR1_Blob0_Loc1_Dis1_Com0.bmp,290.009583,995.455933,-0.95185
20260204_1523400614_Bar1_QR1_OCR1_Blob0_Loc1_Dis1_Com0.bmp,290.779877,992.245117,-0.54741
20260204_1523401245_Bar1_QR1_OCR1_Blob0_Loc1_Dis1_Com0.bmp,291.493927,994.322815,-0.88072
20260204_1523401864_Bar1_QR1_OCR1_Blob0_Loc1_Dis1_Com0.bmp,292.571899,993.522461,-0.914625
20260204_1527449189_Bar1_QR1_OCR1_Blob0_Loc1_Dis1_Com0.bmp,246.714005,1001.469177,-0.648336
20260204_1537242670_Bar1_QR1_OCR1_Blob0_Loc1_Dis1_Com1.bmp,315.362457,1006.386963,-0.974679
20260204_1539510903_Bar1_QR1_OCR1_Blob0_Loc1_Dis1_Com1.bmp,276.033142,1009.047729,0.246103
20260204_1542494994_Bar1_QR1_OCR1_Blob0_Loc1_Dis1_Com1.bmp,315.215454,1000.820801,-0.496739
20260204_1552533158_Bar1_QR1_OCR1_Blob0_Loc1_Dis1_Com1.bmp,310.895233,991.535461,-0.512505
20260204_1552534968_Bar0_QR1_OCR1_Blob1_Loc1_Dis1_Com0.bmp,305.311462,991.734741,-0.652788
20260204_1601182435_Bar1_QR1_OCR1_Blob0_Loc1_Dis1_Com1.bmp,305.574493,1005.424805,-1.052166
20260204_1602286632_Bar1_QR1_OCR1_Blob0_Loc1_Dis1_Com1.bmp,295.5448,1003.493774,-1.060315
20260204_1614090741_Bar0_QR1_OCR1_Blob1_Loc1_Dis1_Com0.bmp,321.645996,994.07196,-0.385305
20260204_1616155125_Bar0_QR1_OCR1_Blob1_Loc1_Dis1_Com0.bmp,292.917999,1077.513794,-0.619849
20260204_1617469632_Bar0_QR1_OCR1_Blob1_Loc1_Dis1_Com0.bmp,308.963593,1001.485352,-0.288636
20260204_1629320602_Bar0_QR1_OCR1_Blob1_Loc1_Dis1_Com0.bmp,306.753784,1007.285278,-0.543718
20260204_1630385972_Bar0_QR1_OCR1_Blob1_Loc1_Dis1_Com0.bmp,301.082275,998.330383,-0.235429
20260204_1631316544_Bar0_QR1_OCR1_Blob1_Loc1_Dis1_Com0.bmp,306.847107,1004.095276,-0.519794
20260204_1632247502_Bar0_QR1_OCR1_Blob1_Loc1_Dis1_Com0.bmp,297.653992,1005.431824,-0.429835
20260204_1654336103_Bar0_QR1_OCR1_Blob1_Loc1_Dis1_Com0.bmp,303.649933,992.499146,-0.713907
20260204_1655162728_Bar0_QR1_OCR1_Blob1_Loc1_Dis1_Com0.bmp,304.005859,990.352783,-0.693371
20260204_1656261503_Bar0_QR1_OCR1_Blob1_Loc1_Dis1_Com0.bmp,303.710266,985.401672,-0.351167
20260204_1658122276_Bar0_QR1_OCR1_Blob1_Loc1_Dis1_Com0.bmp,301.370178,990.300903,-1.042456
20260204_1700182641_Bar0_QR1_OCR1_Blob1_Loc1_Dis1_Com0.bmp,262.104675,988.826782,0.058039
20260204_1700182871_Bar0_QR1_OCR1_Blob1_Loc1_Dis1_Com0.bmp,261.819153,991.477112,-0.375133
20260204_1700185801_Bar0_QR1_OCR1_Blob1_Loc1_Dis1_Com0.bmp,265.121063,987.545288,-0.060333
20260204_1700186672_Bar0_QR1_OCR1_Blob1_Loc1_Dis1_Com0.bmp,265.641663,987.305115,-0.252099
20260204_1701309739_Bar0_QR1_OCR1_Blob1_Loc1_Dis1_Com0.bmp,249.335617,998.351929,-0.812196
20260204_1701313809_Bar0_QR1_OCR1_Blob1_Loc1_Dis1_Com0.bmp,239.612122,983.540161,-0.1886
20260204_1702384295_Bar0_QR1_OCR1_Blob1_Loc1_Dis1_Com0.bmp,,,
20260204_1702391120_Bar0_QR1_OCR1_Blob1_Loc1_Dis1_Com0.bmp,220.768265,987.858948,0.051479
20260204_1706077407_Bar0_QR1_OCR1_Blob1_Loc1_Dis1_Com0.bmp,,,
20260204_1714386902_Bar0_QR1_OCR1_Blob1_Loc1_Dis1_Com0.bmp,,,
20260204_1723280993_Bar1_QR1_OCR1_Blob0_Loc1_Dis1_Com1.bmp,308.350891,1000.614075,-0.294485
20260204_1725399134_Bar1_QR1_OCR1_Blob0_Loc1_Dis1_Com1.bmp,252.811798,1003.605164,-0.183763
20260204_1805397659_Bar1_QR1_OCR1_Blob0_Loc1_Dis1_Com0.bmp,271.229797,1002.133057,-0.4281
20260204_1805398199_Bar1_QR1_OCR1_Blob0_Loc1_Dis1_Com0.bmp,272.752075,1001.302124,-0.809615
20260204_1805398849_Bar1_QR1_OCR1_Blob0_Loc1_Dis1_Com0.bmp,274.659698,1007.514099,-0.960472
20260204_1805399509_Bar1_QR1_OCR1_Blob0_Loc1_Dis1_Com0.bmp,275.423492,1003.719116,-0.910123
20260204_1805400439_Bar1_QR1_OCR1_Blob0_Loc1_Dis1_Com0.bmp,277.314514,1001.673645,-0.787486
20260204_1805401069_Bar1_QR1_OCR1_Blob0_Loc1_Dis1_Com0.bmp,277.43454,1001.514893,-1.043541
20260204_1805401779_Bar1_QR1_OCR1_Blob0_Loc1_Dis1_Com0.bmp,279.529633,1000.388611,-0.148996
20260204_1805402429_Bar1_QR1_OCR1_Blob0_Loc1_Dis1_Com0.bmp,280.015686,1001.459351,-0.742909
20260204_1805403049_Bar1_QR1_OCR1_Blob0_Loc1_Dis1_Com0.bmp,281.709534,997.958618,-0.641975
20260204_1805403639_Bar1_QR1_OCR1_Blob0_Loc1_Dis1_Com0.bmp,282.00061,997.269897,-0.455943
20260204_1805404239_Bar1_QR1_OCR1_Blob0_Loc1_Dis1_Com0.bmp,282.263947,992.126831,0.090181
20260204_1805404929_Bar1_QR1_OCR1_Blob0_Loc1_Dis1_Com0.bmp,283.282837,990.868347,0.021606
20260204_1805405779_Bar1_QR1_OCR1_Blob0_Loc1_Dis1_Com0.bmp,282.97113,993.453186,-0.512782
20260204_1805406566_Bar1_QR1_OCR1_Blob0_Loc1_Dis1_Com0.bmp,283.476501,993.708008,-0.740998
20260204_1805407226_Bar1_QR1_OCR1_Blob0_Loc1_Dis1_Com0.bmp,283.585388,990.088684,-0.520877
20260204_1805408396_Bar1_QR1_OCR1_Blob0_Loc1_Dis1_Com0.bmp,284.501678,987.573853,-0.643988
20260204_1805409006_Bar1_QR1_OCR1_Blob0_Loc1_Dis1_Com0.bmp,284.402466,990.846252,0.090136
20260204_1814568882_Bar1_QR1_OCR1_Blob0_Loc1_Dis1_Com1.bmp,306.517639,1005.735596,-0.081465
20260204_1821421634_Bar1_QR1_OCR1_Blob0_Loc1_Dis1_Com1.bmp,305.414001,1005.536499,-0.907305
20260204_1822268907_Bar1_QR1_OCR1_Blob0_Loc1_Dis1_Com1.bmp,275.460663,1004.423828,-0.03558
20260204_1827129767_Bar1_QR1_OCR1_Blob1_Loc1_Dis1_Com0.bmp,325.931671,1008.593018,-0.444591
20260204_1827130717_Bar1_QR1_OCR1_Blob1_Loc1_Dis1_Com0.bmp,325.142639,1005.44342,-0.207394
20260204_1827131397_Bar1_QR1_OCR1_Blob1_Loc1_Dis1_Com0.bmp,323.396057,1007.861877,-0.663131
20260204_1827132077_Bar1_QR1_OCR1_Blob1_Loc1_Dis1_Com0.bmp,322.488647,1005.971436,-0.197059
20260204_1827132727_Bar1_QR1_OCR1_Blob1_Loc1_Dis1_Com0.bmp,320.943054,1008.933533,-0.107266
20260204_1827133397_Bar1_QR1_OCR1_Blob1_Loc1_Dis1_Com0.bmp,319.667419,1008.641724,-0.644042
20260204_1827134028_Bar1_QR1_OCR1_Blob1_Loc1_Dis1_Com0.bmp,319.094788,1008.71936,-0.486603
20260204_1827134677_Bar1_QR1_OCR1_Blob0_Loc1_Dis1_Com0.bmp,318.952515,1003.244873,0.065723
20260204_1827135757_Bar1_QR1_OCR1_Blob0_Loc1_Dis1_Com0.bmp,318.62088,1002.762695,-0.308382
20260204_1827136389_Bar1_QR1_OCR1_Blob1_Loc1_Dis1_Com0.bmp,317.49939,1002.606079,-0.783368
20260204_1827137169_Bar1_QR1_OCR1_Blob1_Loc1_Dis1_Com0.bmp,317.487732,997.614929,-0.654494
20260204_1827137829_Bar1_QR1_OCR1_Blob1_Loc1_Dis1_Com0.bmp,318.302795,1002.738892,-0.253991
20260204_1827138389_Bar1_QR1_OCR1_Blob0_Loc1_Dis1_Com0.bmp,319.252747,998.76001,-0.668797
20260204_1827139049_Bar1_QR1_OCR1_Blob0_Loc1_Dis1_Com0.bmp,318.825378,997.367432,-0.00397
20260204_1827139669_Bar1_QR1_OCR1_Blob1_Loc1_Dis1_Com0.bmp,317.562927,997.44165,-0.482382
20260204_1827140329_Bar1_QR1_OCR1_Blob0_Loc1_Dis1_Com0.bmp,316.961304,1002.590698,-0.219816
20260204_1827140719_Bar1_QR1_OCR1_Blob0_Loc1_Dis1_Com0.bmp,316.493164,999.836731,-0.256468
